D;G;C;SC;P;CCIF;GLOSA
09;4;2;03;00;09.4.2.03.00;SERVICIO DE TRANSMISIONES PAGADAS DE TELEVISIÓN Y RADIO
09;4;2;03;01;09.4.2.03.01;SERVICIO DE TELEVISIÓN POR CONTRATO VIVIENDA PRINCIPAL
09;4;2;03;02;09.4.2.03.02;SERVICIO DE TELEVISIÓN POR CONTRATO VIVIENDA SECUNDARIA
09;4;2;03;03;09.4.2.03.03;SERVICIO DE SUSCRIPCIÓN EN LÍNEA
09;4;2;04;00;09.4.2.04.00;OTROS SERVICIOS CULTURALES
09;4;2;04;01;09.4.2.04.01;SERVICIO DE REVELADO E IMPRESIÓN DE FOTOGRAFÍAS
09;4;2;04;02;09.4.2.04.02;SERVICIOS DE FILMACIÓN DE VIDEOS
09;4;2;04;03;09.4.2.04.03;SERVICIO DE ENTRETENIMIENTO PRIVADO COMO MÚSICOS, PAYASOS Y SIMILARES
09;4;3;00;00;09.4.3.00.00;JUEGOS DE AZAR
09;4;3;01;00;09.4.3.01.00;JUEGOS DE AZAR
09;4;3;01;01;09.4.3.01.01;APUESTAS EN HIPÓDROMOS, CANÓDROMOS
09;4;3;01;02;09.4.3.01.02;JUEGOS DE MÁQUINAS TRAGAMONEDAS
09;4;3;01;03;09.4.3.01.03;JUEGOS DE AZAR Y RASPES
09;4;3;01;04;09.4.3.01.04;OTRAS APUESTAS EN CASINO, RIFAS Y SIMILARES
09;5;0;00;00;09.5.0.00.00;PERIÓDICOS, LIBROS Y PAPELES, Y ÚTILES DE OFICINA
09;5;1;00;00;09.5.1.00.00;LIBROS
09;5;1;01;00;09.5.1.01.00;LIBROS
09;5;1;01;01;09.5.1.01.01;LIBROS
09;5;1;01;02;09.5.1.01.02;LIBRO ELECTRÓNICO (SOLO EL LIBRO)
09;5;1;01;03;09.5.1.01.03;TEXTOS DE ESTUDIO
09;5;1;01;04;09.5.1.01.04;ÁLBUMES O CUADERNILLOS
09;5;1;01;05;09.5.1.01.05;OTROS LIBROS N.C.P.
